Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
11/15/2021,2.000430862602889,0.1277276047137605,17.974994163896067,4.7976254077417275,1.0263626743034084,1.8485058303405022,1.4845204131290208,-0.5411562784616472,-10.939223069617448,3.353609731945488,0.12432483344865539,5.9498296341665275,-2.308545646148973,-0.3960633825856914,-2.4027413677706324,2.736720386998915,0.2614209739962821,6.825668663019998,2.3647311507937565,5.172634419317708,-4.928375545240202,1.9800256868592905,1.3074313822176564,0.7062786771125781,20.114848989463518
11/16/2021,1.2751512999351884,0.3630658628534637,14.12592039621328,7.6348454028800345,2.124119266150314,5.809382161643955,2.5956763673426133,1.6798557782749,-14.610184567454851,1.5863981943575653,0.20841888308532233,5.622484265222482,-2.0022921558373885,1.6715287895375512,-1.6293926190431234,-0.3879208248440247,1.4076811157482143,10.463871148351767,2.56571170420822,4.928391602343414,-5.801011583084771,0.5024686013644247,2.477914432689883,1.350255381276346,15.507002338279849
11/17/2021,1.5971806168370466,-0.31810420712595894,13.34804290684319,6.114509634110462,1.6531576670933217,4.908824690706549,2.129887850274846,4.3065195656339466,-13.033307888379131,-1.5651523071736233,0.3493415219154308,5.077213528398572,-2.377452793849849,2.5019209830572464,1.2489285214568313,-0.6773984654348795,5.277633071199791,12.275627414070337,2.4148514859860004,4.706067815937729,-5.455156765097153,-0.017105373439534333,2.794445080505206,1.3551620795863388,15.940786367384785
11/18/2021,2.1229613005230163,0.9634782407306013,1.4123779483397498,3.9187722699957046,-0.0817467791975167,2.6092684846322,0.5408295130409568,1.7695983362499805,-11.597283762017438,-2.9382117158079275,-0.876279098758463,4.171595254131446,-2.2988521895630227,-3.203005875812127,0.5438136587972632,-0.6134437353232068,6.409562459204561,7.674113782467816,2.248636331552231,2.8288249462979023,-7.422374383138933,-0.07690677326587174,0.13120112589894758,1.0379653841999275,12.818327198501192
11/19/2021,0.9447252928478869,3.129758117445224,5.379048039264445,3.1515400669761626,-0.019929358372799324,-1.2630630439179158,0.4631190163398396,-0.08297774417885502,-10.656204665338285,-0.8389343392084513,-1.7661819787117152,3.3249824510444657,-2.989628544560185,-4.627148849469393,-1.7322349761896398,-0.06119857600200587,8.174073829274885,2.300479456600252,1.1745709346609707,2.6068354521297405,-0.11490924896257998,0.9406418882728551,0.20614471723846678,-1.3290193508672645,12.991582367540296
11/22/2021,2.2630930463975347,5.243095313494194,6.533673983808732,5.2499953901004925,0.2742082123063462,1.2984344200646116,0.5273976694029385,-2.7874112609108934,-4.230899456903671,0.9580614475029315,-3.21720063069883,1.8850457310804016,-5.328860009529218,-8.279513566065042,-7.0734640776289766,-0.37095820781406447,9.915489594624924,-2.1446610110667317,1.6889488702779447,4.901298766675663,0.3747900346116523,0.18437076810336644,3.6671265246624443,-1.650764195167545,6.546512827204247
11/23/2021,2.372075933264482,8.361805542621566,6.861608222505746,2.6181063617914013,-0.37111052512039144,2.7464555908904997,-0.04548662078664808,-1.5352592971705725,6.786759635816107,0.49370410455109087,-4.7168989420555425,0.6696196351091797,-1.8205168980144404,-8.545450031806016,-6.698055645795393,-1.0196269518735421,11.132659184129134,-4.147276233736733,1.8456666584350505,6.374115276840632,-1.8174146155740163,0.15086141125909214,2.966996745167157,-2.7077256947140746,4.9175440063048335
11/24/2021,1.2730405871608503,7.678363910481638,6.057556046007291,1.1348882696421825,-0.6262669919149267,2.4593868816206164,-0.49026369616790966,0.8831039829674027,8.607976538783504,-1.0595140775631193,-4.238970731729906,-0.4111995588979207,-0.6279016344804321,-8.594402675572,-3.1834358549173563,-2.2647402447562164,9.982002421978901,-8.142485141013832,1.4578369277706529,6.454799103163006,-1.073657020354312,1.2860791950783597,0.34383723226011464,-3.5780259553386062,4.6134397344814335
11/26/2021,1.1726995482683589,8.303326930780528,5.658721591130262,1.9938061250541133,-0.8574532008055193,2.2943021682677993,-1.0155063466820606,2.8215924034708935,1.6261892073457371,-0.24322671810473362,-2.14669839534673,0.048831215906658204,0.08940292107743661,-5.937603869057618,-1.8781514921254405,-1.9307395013289361,10.544437028370474,-6.5753143262030385,1.1528717963530986,7.634723199948796,-1.7462305794079283,1.5142445607031165,1.6482985731623039,-5.697814011681762,6.198878462264994
11/29/2021,-0.7406681758545941,6.35491090169007,6.217879627858588,2.1447484550426053,-2.6714405402130157,-0.2962882319983021,-2.8790422427781657,-0.1930648634469027,5.597723194721985,0.6635386123604945,-3.4517692254379417,-1.7680763317743746,-3.5956352341383937,-7.828048620898197,-5.463075610069799,-3.735360612501019,10.293164169807685,-10.267167987616759,1.3546718261708073,6.386937108595475,-6.104633234363322,0.04704298400127432,2.9143057730425923,-6.280691443053628,6.17060768685738
11/30/2021,0.27682060713860884,6.196275702838132,9.278518720150126,0.10969661120112476,-2.333534353401908,-2.994904919910025,-2.66406668805373,0.2854440275073964,11.552884727471957,0.00967902773192034,-1.659497224818313,-0.5578649561464099,-2.7532242929581505,-7.379554768759196,-2.781465441059663,-2.993796811225135,9.768060912127657,-11.167138149807991,0.7579347829131021,5.962868281287355,-9.595418102015357,0.2051088448747403,2.901749992896216,-4.566358360836647,9.172836008902214
12/01/2021,-1.391646286035963,8.180700216254518,8.52136959211938,-0.33612243592120855,-2.861942268255673,-4.113334772981343,-3.181951160925752,-2.826253222375123,11.004284224168833,-3.0716224799423646,-1.6657113533748416,-1.3495040081694294,-3.9947030840585227,-8.67988030933089,-6.830622675882955,-3.7067605810743975,4.564378128487771,-13.941371381441705,-0.9945881368279815,4.528027693132375,-11.355250117298418,-0.8211788157023324,2.2502721263149716,-4.527282555375929,7.278333005151592
12/02/2021,-1.693642801617662,9.425143246561014,9.037415305345844,-1.8383197336448613,-3.021302089663231,-6.780620565234032,-3.4172503846180415,-1.3149394492922968,4.066864298410885,-3.3479299372391367,-0.29134856463695985,-1.2021527705508934,-2.3954977039453493,-4.882366054958438,-5.903260313506693,-2.861965988057801,2.5599831995756333,-12.680405446489413,-0.5030576964279962,2.122722048240938,-9.542025576490044,0.307863861225207,-0.03893128748861572,-14.380618264430725,1.7907004563648778
12/03/2021,-2.689940565336591,3.2978309826254812,-0.9019832401675926,-4.80028486208535,-4.820001101215565,-8.256604498776365,-4.973747351550675,-0.5070167653601546,-0.7942284209411468,-5.446698853827782,-1.4234562276960252,-3.773651608981859,-1.6370912771141655,-4.362807564978987,-5.421496554399484,-3.2333167850694484,1.1300359155577557,-10.730347548886781,0.2749627711233409,-0.7918072923363788,-10.341483780537846,-0.7701821929004785,-0.980898916377246,-15.142521779314185,-3.99743042871539
12/06/2021,-5.320821526254507,2.245317214388555,-4.206606349297874,-8.462100509379212,-5.0571072053481005,-11.380057803468208,-5.09532675363618,2.827200150675864,-6.302266474000369,-6.503479498231463,1.1991679527224892,-2.0767351269455845,-0.7898971592913954,-2.687495086809968,0.11434122118480498,-2.372528751855757,0.7577914165248736,-7.158271810970264,0.8948595846890753,-0.09593050755458486,-10.075288490999935,1.001453522732304,-8.12675188649031,-15.425796114932888,-5.564322996864173
12/07/2021,-6.172191455848585,1.671260105561677,-12.424300498011545,-6.432672136472709,-4.0457595082658795,-9.779069944782758,-4.282618089446894,2.4048621663387446,-15.517608012093975,-6.623718118196228,3.6498141736716643,-0.01778102472653397,-2.097453831924094,1.428211864376434,0.5860307687034115,0.3289003194218695,0.7961099203760652,-0.37505458056030705,2.302463894317165,-1.3101485743436911,-9.814893933071335,4.006885138684728,-10.244129958539505,-15.321893536162909,-12.333346879653664
